"","id","pathway","protein","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"76","YOR095C","pentose","RKI1","pentose",0,12,"Q12189","0min",1,1,1,1,1.52029422811211,1.25943724082507
"77","YOR095C","pentose","RKI1","pentose",0,12,"Q12189","30min",0.861591882089577,0.26061644021028,2,2,0.164502057872302,-1.53037523211524
"78","YOR095C","pentose","RKI1","pentose",0,12,"Q12189","60min",0.85334431995079,0.664342907048256,3,3,0.0837121422217575,-0.00705067623651582
"79","YOR095C","pentose","RKI1","pentose",0,12,"Q12189","90min",0.776282939678613,0.668963777393056,4,4,-0.671151211013827,0.0103846069166961
"80","YOR095C","pentose","RKI1","pentose",0,12,"Q12189","120min",0.73277304749001,0.737134608645551,5,5,-1.09735721719234,0.267604060609995
"81","YPR074C","pentose","TKL1","pentose",0,5,"P23254","0min",1,1,1,1,1.74771950486273,0.168764122155319
"82","YPR074C","pentose","TKL1","pentose",0,5,"P23254","30min",0.804608404634167,0.607097442197523,2,2,-0.0693930563176217,-1.69330304364932
"83","YPR074C","pentose","TKL1","pentose",0,5,"P23254","60min",0.755568453666705,0.979420297586927,3,3,-0.525457252609182,0.0712315727116497
"84","YPR074C","pentose","TKL1","pentose",0,5,"P23254","90min",0.750197644869908,1.14869835499704,4,4,-0.575404969705635,0.873484208473362
"85","YPR074C","pentose","TKL1","pentose",0,5,"P23254","120min",0.749976215869737,1.08673486252606,5,5,-0.577464226230291,0.57982314030899
