"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"114","YGL097W",11,0,151,"P21827","90min",0.732124443078148,0.876605721316035,4,4,-0.973010436223846,0.482791254190656
"115","YGL097W",11,0,151,"P21827","120min",0.749194975891693,0.790041311863377,5,5,-0.813395132912288,-0.0243292934631132
"116","YGL106W",203,0,6378,"P53141","0min",1,1,1,1,1.67760185709927,0.740479062222658
"117","YGL106W",203,0,6378,"P53141","30min",0.833522059881278,0.773782496771195,2,2,0.0497938027348953,-1.07907806769513
"118","YGL106W",203,0,6378,"P53141","60min",0.803392660152126,1.07177346253629,3,3,-0.244809070878878,1.31778149741358
"119","YGL106W",203,0,6378,"P53141","90min",0.74136453651754,0.870550563296124,4,4,-0.851315129143912,-0.300734116052694
"120","YGL106W",203,0,6378,"P53141","120min",0.76386867434167,0.823591017267573,5,5,-0.631271459811376,-0.678448375888413
"121","YGL122C",11,2,2803,"P32505","0min",1,1,1,3,0.652252293380027,0.511020534331329
"122","YGL122C",11,2,2803,"P32505","30min",1.03598357140993,1.26575659397028,2,4,1.06652367997926,1.50937716191094
"123","YGL122C",11,2,2803,"P32505","60min",0.937789525308476,0.752623373705534,3,5,-0.0639639853726945,-0.418288841137954
"124","YGL122C",11,2,2803,"P32505","90min",0.934825277523421,0.659753955386447,4,6,-0.0980907546738513,-0.767167481901584
"125","YGL122C",11,2,2803,"P32505","120min",0.808128779318052,0.641712948781452,5,7,-1.55672123331274,-0.834941373202729
"126","YGL167C",93,0,60,"P13586","0min",1,1,1,1,-1.44433654447511,-0.714089394845028
"127","YGL167C",93,0,60,"P13586","30min",1.26225118430868,1.30134185544193,2,2,1.35703725956623,1.75113612840669
"128","YGL167C",93,0,60,"P13586","60min",1.14302768884506,1.04971668362307,3,3,0.0834888563494467,-0.307365817666306
"129","YGL167C",93,0,60,"P13586","90min",1.15231415193003,1.02101212570719,4,4,0.182687090618634,-0.542192833993301
"130","YGL167C",93,0,60,"P13586","120min",1.11846628692677,1.06437018245336,5,5,-0.178876662059207,-0.187488081902059
"131","YGL181W",11,2,3129,"P40956","0min",1,1,1,3,0.691143887893558,-0.512223375028911
"132","YGL181W",11,2,3129,"P40956","30min",1.01874997927912,1.90527599608787,2,4,0.958134334258358,1.76152453247615
"133","YGL181W",11,2,3129,"P40956","60min",0.948282015421284,1.14076371586842,3,5,-0.0452946746351728,-0.158672407377497
"134","YGL181W",11,2,3129,"P40956","90min",0.952104721073942,0.952637998043937,4,6,0.00913876624125541,-0.6311807463811
"135","YGL181W",11,2,3129,"P40956","120min",0.838177941859716,1.02101212570719,5,7,-1.613122313758,-0.459448003688647
"136","YGL216W",1,0,3925,"P53086","0min",1,1,1,1,1.63570677004469,-1.1418349159128
"137","YGL216W",1,0,3925,"P53086","30min",0.818113902202679,1.02101212570719,2,2,-0.0380955798034959,-0.519880302641178
"138","YGL216W",1,0,3925,"P53086","60min",0.800746899503447,1.02811382665607,3,3,-0.197914995799689,-0.309671410462553
"139","YGL216W",1,0,3925,"P53086","90min",0.788588199439752,1.05701804056138,4,4,-0.309805134651253,0.545887395529418
"140","YGL216W",1,0,3925,"P53086","120min",0.703819059951439,1.08673486252606,5,5,-1.08989105979026,1.42549923348712
"141","YGR162W",35,0,3437,"P39935","0min",1,1,1,1,1.53634086584001,1.22227472996459
"142","YGR162W",35,0,3437,"P39935","30min",0.831892135847191,0.314253343630457,2,2,-0.0393616420025255,-1.54244806928265
"143","YGR162W",35,0,3437,"P39935","60min",0.863395443963765,0.768437590644006,3,3,0.255924017920555,0.288685237914425
"144","YGR162W",35,0,3437,"P39935","90min",0.728216756928856,0.737134608645551,4,4,-1.01112792662232,0.162481096469923
"145","YGR162W",35,0,3437,"P39935","120min",0.756953331247693,0.664342907048256,5,5,-0.741775315135714,-0.130992995066283
"146","YGR248W",10,0,4418,"P53315","0min",1,1,1,1,-1.72946804568717,-0.843489199675988
"147","YGR248W",10,0,4418,"P53315","30min",1.58807303817407,26.3549125525623,2,2,0.0231121393450386,1.72267164433255
"148","YGR248W",10,0,4418,"P53315","60min",1.71795730882036,8.45614432449104,3,3,0.410194328640476,-0.0888557307921908
"149","YGR248W",10,0,4418,"P53315","90min",1.80047740298642,5.24157361543345,4,4,0.656121403194813,-0.414201182754585
"150","YGR248W",10,0,4418,"P53315","120min",1.79508139480781,5.61777950295199,5,5,0.640040174506842,-0.376125531109792
"151","YGR256W",14,0,1456,"P53319","0min",1,1,1,1,-1.59292473331067,-0.808018853225035
"152","YGR256W",14,0,1456,"P53319","30min",2.33231802866612,7.83536238069542,2,2,-0.350566163200311,1.54504581441062
"153","YGR256W",14,0,1456,"P53319","60min",3.18928617592079,4.72397064571812,3,3,0.44853862945894,0.473953229849829
"154","YGR256W",14,0,1456,"P53319","90min",3.39980761063627,1.68179283050743,4,4,0.644845444335986,-0.573312552262083
