"","id","dtname","T1-T1","T2-T1","T3-T1","T4-T1","T5-T1"
"4284","YIL025C","trc",1,1.03526492384138,1.07177346253629,1.02811382665607,1.07177346253629
"4285","YIL026C","prt",1,0.776633097770714,0.867867034449119,0.845478985614963,0.75778140264856
"4286","YIL026C","trc",1,0.697371833175203,1.12505848468881,1.19747870461893,1.08673486252606
"4287","YIL027C","prt",1,0.764485420856787,0.8301034650801,0.668144236458908,0.750694968218031
"4288","YIL027C","trc",1,0.673616788432845,0.939522749214012,0.870550563296124,0.702222437868999
"4289","YIL028W","trc",1,1.18099266142953,1.11728713807222,1.16473358646846,1.07177346253629
"4290","YIL029C","trc",1,1.98618499087407,1.20580782769076,1.17283494923188,1.14869835499704
"4291","YIL029W-A","trc",1,1.01395947979003,0.979420297586927,1.00695555005672,0.959264119325264
"4292","YIL030C","prt",1,1.33762791917707,1.54479921041034,1.27839669267142,1.20261032671308
"4293","YIL030C","trc",1,0.986232704493359,0.946057646725596,0.812252396356236,0.88884268116657
"4294","YIL030W-A","trc",1,1.18920711500272,0.895025070927972,0.979420297586927,0.895025070927972
"4295","YIL031W","trc",1,1.14076371586842,0.858565436437754,0.920187650624875,0.920187650624875
"4296","YIL032C","trc",1,1.01395947979003,1.02101212570719,1.06437018245336,1.05701804056138
"4297","YIL033C","prt",1,1.71853350242447,1.68745966835238,1.98718972628841,1.98618830188489
"4298","YIL033C","trc",1,2.34566989846376,1.75321144263207,1.31039340385836,1.48452357062905
"4299","YIL034C","prt",1,0.880785194907431,0.86013705944211,0.749362599485637,0.801683124605869
"4300","YIL034C","trc",1,1.39474366635041,1.59107296750984,0.946057646725596,1.15668818390529
"4301","YIL035C","prt",1,1.19818042408118,1.10086531221115,0.95130892405678,0.9801309398729
"4302","YIL035C","trc",1,0.920187650624875,0.752623373705534,0.840896415253715,0.76312960448028
"4303","YIL036W","prt",1,0.858632420715387,0.817209607905557,0.761745995080746,0.774464210543286
"4304","YIL036W","trc",1,2.04202425141439,1.49484924863494,1.2834258975629,1.14076371586842
"4305","YIL037C","trc",1,1.04971668362307,0.993092495437036,0.965936328924846,0.993092495437036
"4306","YIL038C","prt",1,0.863656150999512,0.856741572152526,0.738059212206611,0.739302306282114
"4307","YIL038C","trc",1,0.864537231307865,0.895025070927972,0.895025070927972,0.817902058557781
